Gene_symbol	Description
TNFSF15	tumor necrosis factor (ligand) superfamily, member 15
TNFSF18	tumor necrosis factor (ligand) superfamily, member 18
TNFSF4	tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kD)
TNFSF5	tumor necrosis factor (ligand) superfamily, member 5 (hyper-IgM syndrome)
TNFSF6	tumor necrosis factor (ligand) superfamily, member 6
TNFSF7	tumor necrosis factor (ligand) superfamily, member 7
TNFSF8	tumor necrosis factor (ligand) superfamily, member 8
TNFSF9	tumor necrosis factor (ligand) superfamily, member 9
TNK1	tyrosine kinase, non-receptor, 1
TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNM	tenascin M
TNNC1	troponin C, slow
TNNC2	troponin C2, fast
TNNI1	troponin I, skeletal, slow
TNNI2	troponin I, skeletal, fast
TNNI3	troponin I, cardiac
TNNT1	troponin T1, skeletal, slow
TNNT2	troponin T2, cardiac
TNNT3	troponin T3, skeletal, fast
TNP1	transition protein 1 (during histone to protamine replacement)
TNP2	transition protein 2 (during histone to protamine replacement)
TNR	tenascin R (restrictin, janusin)
TNR1	Turner syndrome 1
TNRC1	trinucleotide repeat containing 1
TNRC10	trinucleotide repeat containing 10
TNRC11	trinucleotide repeat containing 11 (THR-associated protein, 230 kDa subunit)
TNRC12	trinucleotide repeat containing 12
TNRC13	trinucleotide repeat containing 13
TNRC15	trinucleotide repeat containing 15
TNRC17	trinucleotide repeat containing 17
TNRC18	trinucleotide repeat containing 18
TNRC20	trinucleotide repeat containing 20
TNRC21	trinucleotide repeat containing 21
TNRC22	trinucleotide repeat containing 22
TNRC3	trinucleotide repeat containing 3
TNRC4	trinucleotide repeat containing 4
TNRC5	trinucleotide repeat containing 5
TNRC6	trinucleotide repeat containing 6
TNRC7	trinucleotide repeat containing 7
TNRC8	trinucleotide repeat containing 8
TNRC9	trinucleotide repeat containing 9
TNS	tensin
TNXA	tenascin XA
TNXB	tenascin XB
TOB1	transducer of ERBB2, 1
TOB2	transducer of ERBB2, 2
TOC	tylosis with oesophageal cancer
TOM1	target of myb1 (chicken) homolog
TOM1L1	target of myb1 (chicken) homolog-like 1
TOM1L2	target of myb1 (chicken) homolog-like 2
TOMM70A	translocase of outer mitochondrial membrane 70 (yeast) homolog A
TOP1	topoisomerase (DNA) I
TOP1P1	topoisomerase (DNA) I pseudogene 1
TOP1P2	topoisomerase (DNA) I pseudogene 2
TOP2A	topoisomerase (DNA) II alpha (170kD)
TOP2B	topoisomerase (DNA) II beta (180kD)
TOP3A	topoisomerase (DNA) III alpha
TOP3B	topoisomerase (DNA) III beta
TOP3B2	topoisomerase (DNA) III beta, 2
TOR1B	torsin family 1, member B (torsin B)
TOR2A	torsin family 2, member A
TOR3A	torsin family 3, member A
TP53	tumor protein p53 (Li-Fraumeni syndrome)
TP53BP1	tumor protein p53-binding protein, 1
TP53BP2	tumor protein p53-binding protein, 2
TP53CP	tumor protein p53-competing protein
TP53L	tumor protein p53-like
TP73	tumor protein p73
TPBG	trophoblast glycoprotein
TPD52	tumor protein D52
TPD52L1	tumor protein D52-like 1
TPD52L2	tumor protein D52-like 2
TPH	tryptophan hydroxylase (tryptophan 5-monooxygenase)
TPI1	triosephosphate isomerase 1
TPM1	tropomyosin 1 (alpha)
TPM2	tropomyosin 2 (beta)
TPM3	tropomyosin 3
TPM4	tropomyosin 4
TPMT	thiopurine S-methyltransferase
TPO	thyroid peroxidase
TPP2	tripeptidyl peptidase II
TPR	translocated promoter region (to activated MET oncogene)
TPS1	tryptase, alpha
TPS2	tryptase, beta (tryptase II)
TPST1	tyrosylprotein sulfotransferase 1
TPST2	tyrosylprotein sulfotransferase 2
TPT1	tumor protein, translationally-controlled 1
TPTE	transmembrane phosphatase with tensin homology
TPX1	testis specific protein 1 (probe H4-1 p3-1)
TRA@	T cell receptor alpha locus
TRA1	tumor rejection antigen (gp96) 1
TRAC	T cell receptor alpha constant
TRADD	TNFRSF1A-associated via death domain
TRAF1	TNF receptor-associated factor 1
TRAF2	TNF receptor-associated factor 2
TRAF3	TNF receptor-associated factor 3
TRAF4	TNF receptor-associated factor 4
TRAF5	TNF receptor-associated factor 5
TRAF6	TNF receptor-associated factor 6
TRAJ1	T cell receptor alpha joining 1
TRAJ10	T cell receptor alpha joining 10
TRAJ11	T cell receptor alpha joining 11
TRAJ12	T cell receptor alpha joining 12
TRAJ13	T cell receptor alpha joining 13
TRAJ14	T cell receptor alpha joining 14
TRAJ15	T cell receptor alpha joining 15
TRAJ16	T cell receptor alpha joining 16
TRAJ17	T cell receptor alpha joining 17
TRAJ18	T cell receptor alpha joining 18
TRAJ19	T cell receptor alpha joining 19
TRAJ2	T cell receptor alpha joining 2
TRAJ20	T cell receptor alpha joining 20
TRAJ21	T cell receptor alpha joining 21
TRAJ22	T cell receptor alpha joining 22
TRAJ23	T cell receptor alpha joining 23
TRAJ24	T cell receptor alpha joining 24
TRAJ25	T cell receptor alpha joining 25
TRAJ26	T cell receptor alpha joining 26
TRAJ27	T cell receptor alpha joining 27
TRAJ28	T cell receptor alpha joining 28
TRAJ29	T cell receptor alpha joining 29
TRAJ3	T cell receptor alpha joining 3
TRAJ30	T cell receptor alpha joining 30
TRAJ31	T cell receptor alpha joining 31
TRAJ32	T cell receptor alpha joining 32
TRAJ33	T cell receptor alpha joining 33
TRAJ34	T cell receptor alpha joining 34
TRAJ35	T cell receptor alpha joining 35
TRAJ36	T cell receptor alpha joining 36
TRAJ37	T cell receptor alpha joining 37
TRAJ38	T cell receptor alpha joining 38
TRAJ39	T cell receptor alpha joining 39
TRAJ4	T cell receptor alpha joining 4
TRAJ40	T cell receptor alpha joining 40
TRAJ41	T cell receptor alpha joining 41
TRAJ42	T cell receptor alpha joining 42
TRAJ43	T cell receptor alpha joining 43
TRAJ44	T cell receptor alpha joining 44
TRAJ45	T cell receptor alpha joining 45
TRAJ46	T cell receptor alpha joining 46
TRAJ47	T cell receptor alpha joining 47
TRAJ48	T cell receptor alpha joining 48
TRAJ49	T cell receptor alpha joining 49
TRAJ5	T cell receptor alpha joining 5
TRAJ50	T cell receptor alpha joining 50
TRAJ51	T cell receptor alpha joining 51
TRAJ52	T cell receptor alpha joining 52
TRAJ53	T cell receptor alpha joining 53
TRAJ54	T cell receptor alpha joining 54
TRAJ55	T cell receptor alpha joining 55
TRAJ56	T cell receptor alpha joining 56
TRAJ57	T cell receptor alpha joining 57
TRAJ58	T cell receptor alpha joining 58
TRAJ59	T cell receptor alpha joining 59
TRAJ6	T cell receptor alpha joining 6
TRAJ60	T cell receptor alpha joining 60
TRAJ61	T cell receptor alpha joining 61
TRAJ7	T cell receptor alpha joining 7
TRAJ8	T cell receptor alpha joining 8
TRAJ9	T cell receptor alpha joining 9
TRAN	tRNA alanine
TRAP1	tumor rejection antigen (gp96) pseudogene 1
TRAP1	tumor rejection antigen (gp96) pseudogene 1
TRAP2	tumor rejection antigen (gp96) pseudogene 2
TRAV1-1	T cell receptor alpha variable 1-1
TRAV1-2	T cell receptor alpha variable 1-2
TRAV10	T cell receptor alpha variable 10
TRAV11	T cell receptor alpha variable 11
TRAV12-1	T cell receptor alpha variable 12-1
TRAV12-2	T cell receptor alpha variable 12-2
TRAV12-3	T cell receptor alpha variable 12-3
TRAV13-1	T cell receptor alpha variable 13-1
TRAV13-2	T cell receptor alpha variable 13-2
TRAV14DV4	T cell receptor alpha variable 14/delta variable 4
TRAV15	T cell receptor alpha variable 15
TRAV16	T cell receptor alpha variable 16
TRAV17	T cell receptor alpha variable 17
TRAV18	T cell receptor alpha variable 18
TRAV19	T cell receptor alpha variable 19
TRAV2	T cell receptor alpha variable 2
TRAV20	T cell receptor alpha variable 20
TRAV21	T cell receptor alpha variable 21
TRAV22	T cell receptor alpha variable 22
TRAV23DV6	T cell receptor alpha variable 23/delta variable 6
TRAV24	T cell receptor alpha variable 24
TRAV25	T cell receptor alpha variable 25
TRAV26-1	T cell receptor alpha variable 26-1
TRAV26-2	T cell receptor alpha variable 26-2
TRAV27	T cell receptor alpha variable 27
TRAV28	T cell receptor alpha variable 28
TRAV29DV5	T cell receptor alpha variable 29/delta variable 5
TRAV3	T cell receptor alpha variable 3
TRAV30	T cell receptor alpha variable 30
TRAV31	T cell receptor alpha variable 31
TRAV32	T cell receptor alpha variable 32
TRAV33	T cell receptor alpha variable 33
TRAV34	T cell receptor alpha variable 34
TRAV35	T cell receptor alpha variable 35
TRAV36DV7	T cell receptor alpha variable 36/delta variable 7
TRAV37	T cell receptor alpha variable 37
TRAV38-1	T cell receptor alpha variable 38-1
TRAV38-2DV8	T cell receptor alpha variable 38-2/delta variable 8
TRAV39	T cell receptor alpha variable 39
TRAV4	T cell receptor alpha variable 4
TRAV40	T cell receptor alpha variable 40
TRAV41	T cell receptor alpha variable 41
TRAV5	T cell receptor alpha variable 5
TRAV6	T cell receptor alpha variable 6
TRAV7	T cell receptor alpha variable 7
TRAV8-1	T cell receptor alpha variable 8-1
TRAV8-2	T cell receptor alpha variable 8-2
TRAV8-3	T cell receptor alpha variable 8-3
TRAV8-4	T cell receptor alpha variable 8-4
TRAV8-5	T cell receptor alpha variable 8-5
TRAV8-6	T cell receptor alpha variable 8-6
TRAV8-7	T cell receptor alpha variable 8-7
TRAV9-1	T cell receptor alpha variable 9-1
TRAV9-2	T cell receptor alpha variable 9-2
TRB@	T cell receptor beta locus
TRBC1	T cell receptor beta constant 1
TRBC2	T cell receptor beta constant 2
TRBD1	T cell receptor beta diversity 1
TRBD2	T cell receptor beta diversity 2
TRBJ1-1	T cell receptor beta joining 1-1
TRBJ1-2	T cell receptor beta joining 1-2
TRBJ1-3	T cell receptor beta joining 1-3
TRBJ1-4	T cell receptor beta joining 1-4
TRBJ1-5	T cell receptor beta joining 1-5
TRBJ1-6	T cell receptor beta joining 1-6
TRBJ2-1	T cell receptor beta joining 2-1
TRBJ2-2	T cell receptor beta joining 2-2
TRBJ2-2P	T cell receptor beta joining 2-2P
TRBJ2-3	T cell receptor beta joining 2-3
TRBJ2-4	T cell receptor beta joining 2-4
TRBJ2-5	T cell receptor beta joining 2-5
TRBJ2-6	T cell receptor beta joining 2-6
TRBJ2-7	T cell receptor beta joining 2-7
TRBV1	T cell receptor beta variable 1
TRBV10-1	T cell receptor beta variable 10-1
TRBV10-2	T cell receptor beta variable 10-2
TRBV10-3	T cell receptor beta variable 10-3
TRBV11-1	T cell receptor beta variable 11-1
TRBV11-2	T cell receptor beta variable 11-2
TRBV11-3	T cell receptor beta variable 11-3
TRBV12-1	T cell receptor beta variable 12-1
TRBV12-2	T cell receptor beta variable 12-2
TRBV12-3	T cell receptor beta variable 12-3
TRBV12-4	T cell receptor beta variable 12-4
TRBV12-5	T cell receptor beta variable 12-5
TRBV13	T cell receptor beta variable 13
TRBV14	T cell receptor beta variable 14
TRBV15	T cell receptor beta variable 15
TRBV16	T cell receptor beta variable 16
TRBV17	T cell receptor beta variable 17
TRBV18	T cell receptor beta variable 18
TRBV19	T cell receptor beta variable 19
TRBV2	T cell receptor beta variable 2
TRBV20-1	T cell receptor beta variable 20-1
TRBV20OR9-2	T cell receptor beta variable 20/OR9-2
TRBV21-1	T cell receptor beta variable 21-1
TRBV21OR9-2	T cell receptor beta variable 21/OR9-2
TRBV22	T cell receptor beta variable 22
TRBV23-1	T cell receptor beta variable 23-1
TRBV23OR9-2	T cell receptor beta variable 23/OR9-2
TRBV24-1	T cell receptor beta variable 24-1
TRBV24OR9-2	T cell receptor beta variable 24/OR9-2
TRBV25-1	T cell receptor beta variable 25-1
TRBV25OR9-2	T cell receptor beta variable 25/OR9-2
TRBV26	T cell receptor beta variable 26
TRBV27	T cell receptor beta variable 27
TRBV28	T cell receptor beta variable 28
TRBV29-1	T cell receptor beta variable 29-1
TRBV29OR9-2	T cell receptor beta variable 29/OR9-2
TRBV3-1	T cell receptor beta variable 3-1
TRBV3-2	T cell receptor beta variable 3-2
TRBV30	T cell receptor beta variable 30
TRBV4-1	T cell receptor beta variable 4-1
TRBV4-2	T cell receptor beta variable 4-2
TRBV4-3	T cell receptor beta variable 4-3
TRBV5-1	T cell receptor beta variable 5-1
TRBV5-2	T cell receptor beta variable 5-2
TRBV5-3	T cell receptor beta variable 5-3
TRBV5-4	T cell receptor beta variable 5-4
TRBV5-5	T cell receptor beta variable 5-5
TRBV5-6	T cell receptor beta variable 5-6
TRBV5-7	T cell receptor beta variable 5-7
TRBV5-8	T cell receptor beta variable 5-8
TRBV6-1	T cell receptor beta variable 6-1
TRBV6-2	T cell receptor beta variable 6-2
TRBV6-3	T cell receptor beta variable 6-3
TRBV6-4	T cell receptor beta variable 6-4
TRBV6-5	T cell receptor beta variable 6-5
TRBV6-6	T cell receptor beta variable 6-6
TRBV6-7	T cell receptor beta variable 6-7
TRBV6-8	T cell receptor beta variable 6-8
TRBV6-9	T cell receptor beta variable 6-9
TRBV7-1	T cell receptor beta variable 7-1
TRBV7-2	T cell receptor beta variable 7-2
TRBV7-3	T cell receptor beta variable 7-3
TRBV7-4	T cell receptor beta variable 7-4
TRBV7-5	T cell receptor beta variable 7-5
TRBV7-6	T cell receptor beta variable 7-6
TRBV7-7	T cell receptor beta variable 7-7
TRBV7-8	T cell receptor beta variable 7-8
TRBV7-9	T cell receptor beta variable 7-9
TRBV8-1	T cell receptor beta variable 8-1
TRBV8-2	T cell receptor beta variable 8-2
TRBV9	T cell receptor beta variable 9
TRBVA	T cell receptor beta variable A
TRBVB	T cell receptor beta variable B
TRBVOR9@	T cell receptor beta variable orphons on chromosome 9
TRC	tRNA cysteine
TRD	tRNA aspartic acid
TRD@	T cell receptor delta locus
TRDC	T cell receptor delta constant
TRDD1	T cell receptor delta diversity 1
TRDD2	T cell receptor delta diversity 2
TRDD3	T cell receptor delta diversity 3
TRDJ1	T cell receptor delta joining 1
TRDJ2	T cell receptor delta joining 2
TRDJ3	T cell receptor delta joining 3
TRDJ4	T cell receptor delta joining 4
TRDN	triadin
TRDV1	T cell receptor delta variable 1
TRDV2	T cell receptor delta variable 2
TRDV3	T cell receptor delta variable 3
TRE	tRNA glutamic acid
TREH	trehalase (brush-border membrane glycoprotein)
TREL1	tRNA glutamic acid-like 1
TRESMCR	TRE oncogene, Smith Magenis syndrome chromosome region
TREX1	three prime repair exonuclease 1
TREX2	three prime repair exonuclease 2
TRG@	T cell receptor gamma locus
TRG1	tRNA glycine (CCC) 1
TRG2	tRNA glycine 2
TRG3	tRNA glycine (UCC) 3
TRGC1	T cell receptor gamma constant 1
TRGC2	T cell receptor gamma constant 2
TRGJ1	T cell receptor gamma joining 1
TRGJ2	T cell receptor gamma joining 2
TRGJP	T cell receptor gamma joining P
TRGJP1	T-cell receptor gamma joining P1
TRGJP2	T cell receptor gamma joining P2
TRGL1	tRNA glycine (GCC)-like 1
TRGP1	tRNA glycine (GCC) pseudogene 1
TRGV1	T cell receptor gamma variable 1
TRGV10	T cell receptor gamma variable 10
TRGV11	T cell receptor gamma variable 11
TRGV2	T cell receptor gamma variable 2
TRGV3	T cell receptor gamma variable 3
TRGV4	T cell receptor gamma variable 4
TRGV5	T cell receptor gamma variable 5
TRGV5P	T cell receptor gamma variable 5P
TRGV6	T cell receptor gamma variable 6
TRGV7	T cell receptor gamma variable 7
TRGV8	T cell receptor gamma variable 8
TRGV9	T cell receptor gamma variable 9
TRGVA	T cell receptor gamma variable A
TRGVB	T cell receptor gamma variable B
TRH	thyrotropin-releasing hormone
TRHR	thyrotropin-releasing hormone receptor
TRI	tRNA isoleucine
TRICY1	trichilemmal cyst 1
TRIO	triple functional domain (PTPRF interacting)
TRIP10	thyroid hormone receptor interactor 10
TRIP11	thyroid hormone receptor interactor 11
TRIP12	thyroid hormone receptor interactor 12
TRIP13	thyroid hormone receptor interactor 13
TRIP3	thyroid hormone receptor interactor 3
TRIP4	thyroid hormone receptor interactor 4
TRIP6	thyroid hormone receptor interactor 6
TRIP7	thyroid hormone receptor interactor 7
TRIP8	thyroid hormone receptor interactor 8
TRK1	tRNA lysine 1
TRL1	tRNA leucine 1
TRL2	tRNA leucine 2
TRLP1	tRNA leucine (AAG) pseudogene 1
TRM1	tRNA methionine 1
TRMEP1	tRNA methionine elongator pseudogene 1
TRMI1	tRNA methionine initiator 1
TRMI2	tRNA methionine initiator 2
TRN	tRNA asparagine
TRNL	tRNA asparagine-like
TRO	trophinin
TROAP	trophinin associated protein (tastin)
TRP1	tRNA proline 1
TRP2	tRNA proline 2
TRP3	tRNA proline (UGG) 3
TRPC1	transient receptor potential channel 1
TRPC2	transient receptor potential channel 2
TRPC3	transient receptor potential channel 3
TRPC4	transient receptor potential channel 4
TRPC5	transient receptor potential channel 5
TRPC6	transient receptor potential channel 6
TRPC7	transient receptor potential channel 7
TRPS1	trichorhinophalangeal syndrome I
TRQ1	tRNA glutamine 1
TRQ2	tRNA glutamine 2
TRR1	tRNA arginine (UCU) 1
TRR2	tRNA arginine (ACG) 2
TRR3	tRNA arginine (UCG) 3
TRR4	tRNA arginine (CCG) 4
TRRAP	transformation/transcription domain-associated protein
TRSP	tRNA phosphoserine (opal suppressor)
TRSPP1	tRNA phosphoserine (opal suppressor) pseudogene 1
TRT1	tRNA threonine (UGU) 1
TRT2	tRNA threonine (UGU) 2
TRT3	tRNA threonine (AGU) 3
TRV1	tRNA valine 1
TRV2	tRNA valine (CAC) 2
TRV3	tRNA valine (IAC), isoacceptor 3
TRVP1	tRNA valine (CAC) pseudogene 1
TRVP2	tRNA valine pseudogene 2
TRVP3	tRNA valine pseudogene 3
TRVP4	tRNA valine (AAC) pseudogene 4
TRW	tRNA tryptophan
TSC1	tuberous sclerosis 1
TSC2	tuberous sclerosis 2
TSC3	tuberous sclerosis 3
TSFM	Ts translation elongation factor, mitochondrial
TSG101	tumor susceptibility gene 101
TSGA13	testis specific, 13
TSGA14	testis specific, 14
TSGA2	testes specific gene A2 (mouse) homolog
TSHB	thyroid stimulating hormone, beta
TSHR	thyroid stimulating hormone receptor
TSHRL1	thyroid stimulating hormone receptor-like 1
TSHRL2	thyroid stimulating hormone receptor-like 2
TSHRL3	thyroid stimulating hormone receptor-like 3
TSIX	X (inactive)-specific transcript, antisense
TSLC1	tumor suppressor in lung cancer 1
TSN	translin
TSNAX	translin-associated factor X
TSPY	testis specific protein, Y-linked
TSPYL	TSPY-like
TSSC1	tumor suppressing subtransferable candidate 1
TSSC2	tumor suppressing subtransferable candidate 2
TSSC3	tumor suppressing subtransferable candidate 3
TSSC4	tumor suppressing subtransferable candidate 4
TST	thiosulfate sulfurtransferase (rhodanese)
TSTA3	tissue specific transplantation antigen P35B
TTC1	tetratricopeptide repeat domain 1
TTC2	tetratricopeptide repeat domain 2
TTC3	tetratricopeptide repeat domain 3
TTC4	tetratricopeptide repeat domain 4
TTC4P	tetratricopeptide repeat domain 4, pseudogene
TTD	trichothiodystrophy
TTF1	transcription termination factor, RNA polymerase I
TTF2	transcription termination factor, RNA polymerase II
TTID	titin immunoglobulin domain protein (myotilin)
TTIM1	T-cell tumor invasion and metastasis 1
TTK	TTK protein kinase
TTLL1	tubulin tyrosine ligase-like 1
TTN	titin
TTPA	tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)
TTR	transthyretin (prealbumin, amyloidosis type I)
TTYH1	tweety (Drosophila) homolog 1
TTYH2	tweety (Drosophila) homolog 2
TUB	tubby (mouse) homolog
TUBA1	tubulin, alpha 1 (testis specific)
TUBA2	tubulin, alpha 2
TUBAL1	tubulin, alpha-like 1
TUBAL2	tubulin, alpha-like 2
TUBAP	tubulin, alpha pseudogene
TUBB	tubulin, beta polypeptide
TUBB4Q	tubulin, beta polypeptide 4, member Q
TUBBP1	tubulin, beta polypeptide pseudogene 1
TUBBP2	tubulin, beta polypeptide pseudogene 2
TUBG1	tubulin, gamma 1
TUBG1P	tubulin, gamma 1 pseudogene
TUBG2	tubulin, gamma 2
TUFM	Tu translation elongation factor, mitochondrial
TUFML	Tu translation elongation factor, mitochondrial-like
TUFT1	tuftelin 1
TULP1	tubby like protein 1
TULP2	tubby like protein 2
TULP3	tubby like protein 3
TWIST	twist (Drosophila) homolog (acrocephalosyndactyly 3; Saethre-Chotzen syndrome)
TWSG1	reserved
TXK	TXK tyrosine kinase
TXN	thioredoxin
TXNL	thioredoxin-like, 32kD
TXNRD1	thioredoxin reductase 1
TYK2	tyrosine kinase 2
TYMS	thymidylate synthetase
TYR	tyrosinase (oculocutaneous albinism IA)
TYRL	tyrosinase-like
TYRO3	TYRO3 protein tyrosine kinase
TYRO3P	TYRO3P protein tyrosine kinase pseudogene
TYRO4	TYRO4 protein tyrosine kinase
TYROBP	TYRO protein tyrosine kinase binding protein
TYRP1	tyrosinase-related protein 1
TYS	sclerotylosis
U2AF1	U2(RNU2) small nuclear RNA auxillary factor 1 (non-standard symbol)
U2AF1P	U2(RNU2) small nuclear RNA auxillary factor pseudogene 1
U2AFBP	U2(RNU2) small nuclear RNA auxillary factor binding protein (non-standard symbol)
U2AFBPL	U2(RNU2) small nuclear RNA auxillary factor binding protein-like (non-standard symbol)
UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
UBA52P1	ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 1
UBA52P2	ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 2
UBAP	ubiquitin associated protein
UBASH3A	ubiquitin associated and SH3 domain containing, A
UBB	ubiquitin B
UBBP1	ubiquitin B pseudogene 1
UBBP2	ubiquitin B pseudogene 2
UBBP3	ubiquitin B pseudogene 3
UBBP4	ubiquitin B pseudogene 4
UBC	ubiquitin C
UBE1	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)
UBE1C	ubiquitin-activating enzyme E1C (homologous to yeast UBA3)
UBE1L	ubiquitin-activating enzyme E1-like
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
UBE2D1	ubiquitin-conjugating enzyme E2D 1 (homologous to yeast UBC4/5)
UBE2D2	ubiquitin-conjugating enzyme E2D 2 (homologous to yeast UBC4/5)
UBE2D3	ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5)
UBE2E1	ubiquitin-conjugating enzyme E2E 1 (homologous to yeast UBC4/5)
UBE2E2	ubiquitin-conjugating enzyme E2E 2 (homologous to yeast UBC4/5)
UBE2E3	ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)
UBE2F	ubiquitin-conjugating enzyme E2F (homologous to C. elegans UBC6)
UBE2G1	ubiquitin-conjugating enzyme E2G 1 (homologous to C. elegans UBC7)
UBE2G2	ubiquitin-conjugating enzyme E2G 2 (homologous to yeast UBC7)
UBE2H	ubiquitin-conjugating enzyme E2H (homologous to yeast UBC8)
UBE2I	ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)
UBE2L1	ubiquitin-conjugating enzyme E2L 1
UBE2L2	ubiquitin-conjugating enzyme E2L 2
UBE2L3	ubiquitin-conjugating enzyme E2L 3
UBE2L4	ubiquitin-conjugating enzyme E2L 4
UBE2L6	ubiquitin-conjugating enzyme E2L 6
UBE2M	ubiquitin-conjugating enzyme E2M (homologous to yeast UBC12)
UBE2N	ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)
UBE2V1	ubiquitin-conjugating enzyme E2 variant 1
UBE2V2	ubiquitin-conjugating enzyme E2 variant 2
UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)
UBE3AP1	ubiquitin protein ligase E3A pseudogene 1
UBE3AP2	ubiquitin protein ligase E3A pseudogene 2
UBE4A	ubiquitination factor E4A (homologous to yeast UFD2)
UBE4B	ubiquitination factor E4B (homologous to yeast UFD2)
UBL1	ubiquitin-like 1 (sentrin)
UBL2	ubiquitin-like 2
UBL3	ubiquitin-like 3
UBL4	ubiquitin-like 4
UBL5	ubiquitin-like 5
UBN1	ubinuclein 1
UBP1	upstream binding protein 1 (LBP-1a)
UBQLN1	ubiquilin 1
UBQLN2	ubiquilin 2
UBQLN3	ubiquilin 3
UBTF	upstream binding transcription factor, RNA polymerase I
UCHH2	ubiquitin carboxyl-terminal esterase H2 (ubiquitin thiolesterase)
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
UCHL2	ubiquitin carboxyl-terminal esterase L2 (ubiquitin thiolesterase)
UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
UCN	urocortin
UCP1	uncoupling protein 1 (mitochondrial, proton carrier)
UCP2	uncoupling protein 2 (mitochondrial, proton carrier)
UCP3	uncoupling protein 3 (mitochondrial, proton carrier)
UFD1L	ubiquitin fusion degradation 1-like
UFS	urofacial syndrome
UGB	uteroglobin
UGCG	UDP-glucose ceramide glucosyltransferase
UGDH	UDP-glucose dehydrogenase
UGP1	UDP-glucose pyrophosphorylase 1
UGP2	UDP-glucose pyrophosphorylase 2
UGT1A@	UDP glycosyltransferase 1 family, polypeptide A cluster
UGT1A1	UDP glycosyltransferase 1 family, polypeptide A1
UGT1A10	UDP glycosyltransferase 1 family, polypeptide A10
UGT1A11P	UDP glycosyltransferase 1 family, polypeptide A11 pseudogene
UGT1A12P	UDP glycosyltransferase 1 family, polypeptide A12 pseudogene
UGT1A2P	UDP glycosyltransferase 1 family, polypeptide A2 pseudogene
UGT1A3	UDP glycosyltransferase 1 family, polypeptide A3
UGT1A4	UDP glycosyltransferase 1 family, polypeptide A4
UGT1A5	UDP glycosyltransferase 1 family, polypeptide A5
UGT1A6	UDP glycosyltransferase 1 family, polypeptide A6
UGT1A7	UDP glycosyltransferase 1 family, polypeptide A7
UGT1A8	UDP glycosyltransferase 1 family, polypeptide A8
UGT1A9	UDP glycosyltransferase 1 family, polypeptide A9
UGT2A1	UDP glycosyltransferase 2 family, polypeptide A1
UGT2B	UDP glycosyltransferase 2 family, polypeptide B
UGT2B10	UDP glycosyltransferase 2 family, polypeptide B10
UGT2B11	UDP glycosyltransferase 2 family, polypeptide B11
UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15
UGT2B17	UDP glycosyltransferase 2 family, polypeptide B17
UGT2B24P	UDP glycosyltransferase 2 family, polypeptide B24 pseudogene
UGT2B25P	UDP glycosyltransferase 2 family, polypeptide B25 pseudogene
UGT2B26P	UDP glycosyltransferase 2 family, polypeptide B26 pseudogene
UGT2B27P	UDP glycosyltransferase 2 family, polypeptide B27 pseudogene
UGT2B29P	UDP glycosyltransferase 2 family, polypeptide B28 pseudogene
UGT2B4	UDP glycosyltransferase 2 family, polypeptide B4
UGT2B7	UDP glycosyltransferase 2 family, polypeptide B7
UGT8	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)
UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1
UHRF2	ubiquitin-like, containing PHD and RING finger domains, 2
ULK1	unc-51 (C. elegans)-like kinase 1
UMOD	uromodulin (uromucoid, Tamm-Horsfall glycoprotein)
UMODL1	uromodulin-like 1
UMPH2	uridine 5'-monophosphate phosphohydrolase 2
UMPK	uridine monophosphate kinase
UMPS	uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase)
UNC119	unc119 (C.elegans) homolog
UNC13	UNC13 (C. elegans)-like
UNC5A	unc5 (C.elegans homolog) a
UNC5B	unc5 (C.elegans homolog) b
UNC5C	unc5 (C.elegans homolog) c
UNC93A	unc93 (C.elegans) homolog A
UNG	uracil-DNA glycosylase
UOX	urate oxidase
UP	uridine phosphorylase
UPK1A	uroplakin 1A
UPK1B	uroplakin 1B
UPK2	uroplakin 2
UPK3	uroplakin 3
